"Edad:";"Sexo:";"¿En qué destinas la mayor parte de tu dinero de ocio?";"¿Cuál es tu medio principal para liberar el estrés? ";"¿Con qué frecuencia asistes a bares o fiestas al mes? ";"Tus fines de semana se describen como:";"Actualmente, ¿cómo calificas en promedio tu nivel de estrés? (Arrasta sobre la barra, del 1 al 10) ";"_C_mo_calificar_as_t_omedio_Del_1_al_10";"start";"Edad:";"end";"¿En qué destinás la mayor parte de tu dinero de ocio?";"start-geopoint";"_start-geopoint_latitude";"_start-geopoint_longitude";"_start-geopoint_altitude";"_start-geopoint_precision";"¿Cuál es tu medio principal para manejar o liberar el estrés? ";"today";"¿Con qué frecuencia asistes a bares, antros o fiestas al mes? ";"¿Cómo calificarías tu nivel de estrés actual promedio? (Del 1 al 10) 🤦🏻‍♂️|💆🏻‍♂️";"Tu fin de semana ideal se describe mejor como:";"_id";"_uuid";"_submission_time";"_validation_status";"_notes";"_status";"_submitted_by";"__version__";"_tags";"meta/rootUuid";"_index"
"17";"";"";"";"";"";"";"";"2026-07-23T18:50:50.174-05:00";"Hombre";"2026-07-23T18:52:59.888-05:00";"D) Viajes, conciertos, talleres o deportes de aventura.🛫🗽";"";"";"";"";"";"D) Buscando nuevas experiencias o viajando.🎸🎭🤘";"";"C) Casi nunca. 🙅🏻‍♀️";"7";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806661";"a9f9a422-7c3f-4c02-bc63-d70b99dbed5b";"2026-07-24T16:30:54";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:a9f9a422-7c3f-4c02-bc63-d70b99dbed5b";"1"
"17";"";"";"";"";"";"";"";"2026-07-23T18:53:18.126-05:00";"Mujer";"2026-07-23T18:54:48.520-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"D) Buscando nuevas experiencias o viajando.🎸🎭🤘";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"4";"D) Visitando un lugar nuevo o una actividad nueva.🧗🎭🎸";"820806669";"20969361-a40b-4536-892e-d673ef3c435d";"2026-07-24T16:30:54";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:20969361-a40b-4536-892e-d673ef3c435d";"2"
"18";"";"";"";"";"";"";"";"2026-07-23T18:55:05.436-05:00";"Hombre";"2026-07-23T18:55:56.360-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"C) Casi nunca. 🙅🏻‍♀️";"5";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806674";"de708643-c6fd-4176-bdf0-63a61c9011a5";"2026-07-24T16:30:54";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:de708643-c6fd-4176-bdf0-63a61c9011a5";"3"
"15";"";"";"";"";"";"";"";"2026-07-23T18:56:11.632-05:00";"Mujer";"2026-07-23T18:57:09.488-05:00";"D) Viajes, conciertos, talleres o deportes de aventura.🛫🗽";"";"";"";"";"";"D) Buscando nuevas experiencias o viajando.🎸🎭🤘";"";"C) Casi nunca. 🙅🏻‍♀️";"2";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"820806681";"b94ee96b-a53e-47b7-a938-6e1430b64415";"2026-07-24T16:30:55";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:b94ee96b-a53e-47b7-a938-6e1430b64415";"4"
"13";"";"";"";"";"";"";"";"2026-07-23T18:57:17.154-05:00";"Mujer";"2026-07-23T18:58:01.244-05:00";"D) Viajes, conciertos, talleres o deportes de aventura.🛫🗽";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"9";"B) Activo, deporte y comida.💪🥋🥘";"820806686";"ca0d0cd4-04db-4182-85a4-a86a7409af20";"2026-07-24T16:30:55";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:ca0d0cd4-04db-4182-85a4-a86a7409af20";"5"
"37";"";"";"";"";"";"";"";"2026-07-23T18:58:21.117-05:00";"Hombre";"2026-07-23T19:02:39.647-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"C) Casi nunca. 🙅🏻‍♀️";"3";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806691";"3a9ac2eb-c502-4a0d-8355-a620cc7bd528";"2026-07-24T16:30:55";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:3a9ac2eb-c502-4a0d-8355-a620cc7bd528";"6"
"14";"";"";"";"";"";"";"";"2026-07-23T19:03:22.586-05:00";"Mujer";"2026-07-23T19:05:06.822-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"D) Buscando nuevas experiencias o viajando.🎸🎭🤘";"";"C) Casi nunca. 🙅🏻‍♀️";"4";"A) Improvisado,  amigos y música. 👨🏻‍🦰👩🏻‍🦱💃🕺";"820806694";"227aee1c-8c1f-4b5c-8ee3-ae43f9878abc";"2026-07-24T16:30:56";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:227aee1c-8c1f-4b5c-8ee3-ae43f9878abc";"7"
"14";"";"";"";"";"";"";"";"2026-07-23T19:05:10.838-05:00";"Mujer";"2026-07-23T19:06:04.233-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"C) Organizar mi tiempo y gastos, descansar en casa.⏳💰⚖️";"";"D) Solo cuando hay un evento o concierto.🧏🏻‍♂️";"2";"B) Activo, deporte y comida.💪🥋🥘";"820806702";"77b769ad-276f-4bc7-bdd7-69a9fb6cf596";"2026-07-24T16:30:56";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:77b769ad-276f-4bc7-bdd7-69a9fb6cf596";"8"
"14";"";"";"";"";"";"";"";"2026-07-23T19:06:10.064-05:00";"Mujer";"2026-07-23T19:07:16.660-05:00";"C) Ahorro, inversiones o metas a futuro. 💵📊";"";"";"";"";"";"B) Hacer ejercicio y meditar💆🏻‍♂️🌳🍱";"";"C) Casi nunca. 🙅🏻‍♀️";"6";"C) Tranquilo, en casa y preparando la semana. 🏠📊🛋️";"820806709";"f3657a49-6b0f-473f-afdf-1dc5cee32dd0";"2026-07-24T16:30:57";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:f3657a49-6b0f-473f-afdf-1dc5cee32dd0";"9"
"24";"";"";"";"";"";"";"";"2026-07-23T19:07:52.238-05:00";"Hombre";"2026-07-23T19:08:58.124-05:00";"B) Gimnasio, comida sana, naturaleza o terapias🧠💆🏻‍♂️";"";"";"";"";"";"A) Salir a desconectarme, beber y socializar .🍸🍾🪩";"";"B) 1 o 2 veces. 🧏🏻‍♂️";"8";"B) Activo, deporte y comida.💪🥋🥘";"820806713";"c759410d-c78a-46b7-9434-2ffc1494a15d";"2026-07-24T16:30:57";"";"";"submitted_via_web";"agus_ttn";"v5GTVoimkLrvSkYhCHR7xH";"";"uuid:c759410d-c78a-46b7-9434-2ffc1494a15d";"10"
